epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.9050384759902954,1e-06,1.283031,1.9000821,1.3784347,0.024238770827651024,0.11307765543460846,0.019282301887869835,0.13886073231697083
1,1.9047889709472656,1e-06,1.2829503,1.8998326,1.3783442,0.024211889132857323,0.11300516128540039,0.019255422055721283,0.1387639045715332
2,1.9045383930206299,1e-06,1.2828692,1.899582,1.3782532,0.024184901267290115,0.11293219029903412,0.019228436052799225,0.13866662979125977
3,1.9042880535125732,1e-06,1.2827882,1.8993317,1.3781624,0.024157991632819176,0.11285944283008575,0.019201526418328285,0.13856957852840424
4,1.9040377140045166,1e-06,1.2827073,1.8990813,1.3780715,0.024131083860993385,0.11278662085533142,0.019174620509147644,0.13847245275974274
5,1.9037877321243286,1e-06,1.2826264,1.8988314,1.377981,0.02410426177084446,0.11271394789218903,0.019147798418998718,0.13837556540966034
6,1.9035378694534302,1e-06,1.2825456,1.8985815,1.3778902,0.024077465757727623,0.11264124512672424,0.01912100240588188,0.13827870786190033
7,1.903287410736084,1e-06,1.2824646,1.898331,1.3777994,0.024050651118159294,0.11256840825080872,0.019094185903668404,0.13818171620368958
8,1.9030365943908691,1e-06,1.2823833,1.8980802,1.3777083,0.024023879319429398,0.11249566078186035,0.019067417830228806,0.13808481395244598
9,1.902786374092102,1e-06,1.2823024,1.89783,1.3776175,0.02399713173508644,0.1124228686094284,0.01904067024588585,0.13798794150352478
10,1.9025359153747559,1e-06,1.2822213,1.8975796,1.3775266,0.023970406502485275,0.11235009133815765,0.019013945013284683,0.13789106905460358
11,1.9022862911224365,1e-06,1.2821405,1.8973299,1.377436,0.02394377440214157,0.11227750778198242,0.01898731291294098,0.13779446482658386
12,1.9020358324050903,1e-06,1.2820596,1.8970795,1.3773451,0.02391715720295906,0.11220479011535645,0.01896069571375847,0.13769784569740295
13,1.9017854928970337,1e-06,1.2819785,1.8968291,1.3772542,0.02389046549797058,0.11213190853595734,0.01893400400876999,0.1376008838415146
14,1.901535987854004,1e-06,1.2818975,1.8965796,1.3771636,0.02386395074427128,0.11205922067165375,0.018907491117715836,0.13750451803207397
15,1.9012854099273682,1e-06,1.2818166,1.896329,1.3770727,0.02383730374276638,0.111986443400383,0.018880844116210938,0.137407585978508
16,1.9010348320007324,1e-06,1.2817353,1.8960785,1.3769816,0.023810798302292824,0.11191368103027344,0.01885433867573738,0.13731110095977783
17,1.900785207748413,1e-06,1.2816545,1.8958288,1.376891,0.023784320801496506,0.11184103786945343,0.018827863037586212,0.13721466064453125
18,1.9005351066589355,1e-06,1.2815737,1.8955787,1.3768002,0.023757796734571457,0.11176815629005432,0.018801338970661163,0.13711798191070557
19,1.9002848863601685,1e-06,1.2814924,1.8953285,1.3767093,0.023731358349323273,0.11169548332691193,0.01877490058541298,0.1370215266942978
20,1.9000340700149536,1e-06,1.2814113,1.8950777,1.3766183,0.02370498515665531,0.11162292957305908,0.018748527392745018,0.13692526519298553
21,1.899785041809082,1e-06,1.2813306,1.8948287,1.3765278,0.02367856539785862,0.11155006289482117,0.018722109496593475,0.13682876527309418
22,1.8995335102081299,1e-06,1.281249,1.8945771,1.3764364,0.023652182891964912,0.11147728562355042,0.018695726990699768,0.1367323249578476
23,1.8992838859558105,1e-06,1.2811681,1.8943275,1.3763458,0.023625900968909264,0.11140471696853638,0.01866944506764412,0.1366361826658249
24,1.8990342617034912,1e-06,1.2810874,1.8940779,1.376255,0.023599592968821526,0.11133193969726562,0.01864313706755638,0.13653987646102905
25,1.898784875869751,1e-06,1.2810065,1.8938285,1.3761644,0.02357327565550804,0.1112591028213501,0.018616821616888046,0.13644348084926605
26,1.8985342979431152,1e-06,1.2809254,1.8935779,1.3760734,0.023547062650322914,0.11118651926517487,0.01859060861170292,0.13634738326072693
27,1.8982844352722168,1e-06,1.2808443,1.8933281,1.3759826,0.02352081798017025,0.11111369729042053,0.018564365804195404,0.13625110685825348
28,1.8980345726013184,1e-06,1.2807633,1.8930782,1.3758918,0.023494647815823555,0.11104105412960052,0.01853819563984871,0.13615503907203674
29,1.897783875465393,1e-06,1.2806821,1.8928275,1.3758007,0.02346852235496044,0.11096832156181335,0.018512070178985596,0.13605907559394836
30,1.8975350856781006,1e-06,1.2806015,1.8925787,1.3757102,0.023442409932613373,0.11089572310447693,0.018485959619283676,0.1359630823135376
31,1.897284746170044,1e-06,1.2805203,1.8923284,1.3756193,0.02341626212000847,0.1108228862285614,0.018459811806678772,0.1358668953180313
32,1.8970352411270142,1e-06,1.2804395,1.8920789,1.3755286,0.0233902670443058,0.11075049638748169,0.018433816730976105,0.13577118515968323
33,1.896785855293274,1e-06,1.2803584,1.8918295,1.375438,0.023364219814538956,0.11067767441272736,0.01840776950120926,0.13567523658275604
34,1.8965351581573486,1e-06,1.2802773,1.8915788,1.3753468,0.023338206112384796,0.11060500144958496,0.0183817557990551,0.13557933270931244
35,1.896285057067871,1e-06,1.2801962,1.8913287,1.3752558,0.023312227800488472,0.11053232848644257,0.018355779349803925,0.1354835033416748
36,1.8960351943969727,1e-06,1.2801151,1.8910788,1.375165,0.02328626811504364,0.1104595959186554,0.018329819664359093,0.13538765907287598
37,1.8957860469818115,1e-06,1.2800344,1.8908297,1.3750744,0.023260366171598434,0.11038699746131897,0.018303919583559036,0.13529197871685028
38,1.895535945892334,1e-06,1.2799532,1.8905796,1.3749834,0.023234441876411438,0.1103142499923706,0.01827799528837204,0.13519613444805145
39,1.895287036895752,1e-06,1.2798724,1.8903307,1.374893,0.023208655416965485,0.11024171113967896,0.018252208828926086,0.13510073721408844
40,1.8950358629226685,1e-06,1.279791,1.8900795,1.3748016,0.02318282052874565,0.11016906797885895,0.018226373940706253,0.13500508666038513
41,1.8947865962982178,1e-06,1.2797102,1.8898302,1.3747109,0.023156961426138878,0.11009633541107178,0.01820051670074463,0.13490928709506989
42,1.8945376873016357,1e-06,1.2796293,1.8895813,1.3746204,0.02313126064836979,0.1100238710641861,0.01817481406033039,0.13481399416923523
43,1.8942877054214478,1e-06,1.2795482,1.8893313,1.3745295,0.023105449974536896,0.10995100438594818,0.018149007111787796,0.13471825420856476
44,1.8940370082855225,1e-06,1.279467,1.8890806,1.3744383,0.023079749196767807,0.10987834632396698,0.018123306334018707,0.13462282717227936
45,1.8937890529632568,1e-06,1.2793864,1.8888327,1.374348,0.02305413782596588,0.10980595648288727,0.01809769496321678,0.13452766835689545
46,1.8935387134552002,1e-06,1.2793051,1.8885823,1.374257,0.02302844636142254,0.10973316431045532,0.018072005361318588,0.13443215191364288
47,1.89328932762146,1e-06,1.2792242,1.888333,1.3741663,0.023002879694104195,0.10966071486473083,0.018046438694000244,0.13433703780174255
48,1.8930398225784302,1e-06,1.2791432,1.8880835,1.3740755,0.022977327927947044,0.10958820581436157,0.018020886927843094,0.13424189388751984
49,1.892789602279663,1e-06,1.2790619,1.8878332,1.3739845,0.022951746359467506,0.10951563715934753,0.017995303496718407,0.1341465711593628
50,1.8925395011901855,1e-06,1.2789806,1.8875831,1.3738934,0.022926177829504013,0.10944285988807678,0.017969738692045212,0.13405124843120575
51,1.8922911882400513,1e-06,1.2789001,1.8873348,1.373803,0.022900700569152832,0.10937033593654633,0.01794426143169403,0.1339561939239502
52,1.8920413255691528,1e-06,1.278819,1.887085,1.3737121,0.02287527732551098,0.10929785668849945,0.017918840050697327,0.13386127352714539
53,1.8917919397354126,1e-06,1.2787379,1.8868356,1.3736213,0.022849848493933678,0.10922536253929138,0.017893411219120026,0.13376624882221222
54,1.8915420770645142,1e-06,1.2786567,1.8865857,1.3735304,0.022824415937066078,0.1091526448726654,0.017867978662252426,0.13367116451263428
55,1.8912932872772217,1e-06,1.278576,1.8863369,1.3734398,0.022799046710133553,0.10908016562461853,0.0178426094353199,0.13357622921466827
56,1.8910434246063232,1e-06,1.2784948,1.8860871,1.3733488,0.02277371659874916,0.10900765657424927,0.01781727932393551,0.13348138332366943
57,1.8907939195632935,1e-06,1.2784137,1.8858376,1.373258,0.022748375311493874,0.10893495380878448,0.01779193989932537,0.13338643312454224
58,1.8905450105667114,1e-06,1.2783328,1.8855886,1.3731674,0.022723091766238213,0.10886253416538239,0.01776665821671486,0.13329163193702698
59,1.890295147895813,1e-06,1.2782516,1.8853388,1.3730764,0.02269786410033703,0.10878995060920715,0.017741430550813675,0.13319696485996246
60,1.890046238899231,1e-06,1.2781708,1.8850899,1.3729857,0.02267265133559704,0.10871753096580505,0.017716217786073685,0.13310228288173676
61,1.8897967338562012,1e-06,1.2780898,1.8848404,1.3728949,0.022647444158792496,0.10864493250846863,0.017691010609269142,0.13300755620002747
62,1.8895466327667236,1e-06,1.2780085,1.8845903,1.3728038,0.02262231521308422,0.10857254266738892,0.017665885388851166,0.13291306793689728
63,1.8892979621887207,1e-06,1.2779275,1.8843416,1.3727132,0.02259722910821438,0.10850013792514801,0.017640799283981323,0.13281866908073425
64,1.88904869556427,1e-06,1.2778465,1.8840923,1.3726224,0.022572098299860954,0.1084275096654892,0.01761566661298275,0.13272401690483093
65,1.8887996673583984,1e-06,1.2777656,1.8838433,1.3725318,0.022547002881765366,0.10835503041744232,0.01759057492017746,0.13262946903705597
66,1.8885502815246582,1e-06,1.2776846,1.8835939,1.3724408,0.02252201735973358,0.10828261077404022,0.017565587535500526,0.13253523409366608
67,1.8883010149002075,1e-06,1.2776034,1.8833447,1.3723501,0.022496957331895828,0.10821016132831573,0.017540529370307922,0.13244065642356873
68,1.888053059577942,1e-06,1.2775228,1.8830967,1.3722597,0.022472010925412178,0.10813769698143005,0.01751558482646942,0.13234645128250122
69,1.887803316116333,1e-06,1.2774415,1.882847,1.3721687,0.02244708128273487,0.10806530714035034,0.017490655183792114,0.13225224614143372
70,1.8875542879104614,1e-06,1.2773606,1.8825979,1.372078,0.022422200068831444,0.10799290239810944,0.017465773969888687,0.13215814530849457
71,1.8873059749603271,1e-06,1.2772797,1.8823496,1.3719875,0.02239728532731533,0.10792045295238495,0.017440859228372574,0.1320638507604599
72,1.8870564699172974,1e-06,1.2771987,1.8821001,1.3718965,0.022372456267476082,0.1078481376171112,0.017416030168533325,0.13196980953216553
73,1.8868072032928467,5e-07,1.2771176,1.8818508,1.3718057,0.02236003614962101,0.10781194269657135,0.017403608188033104,0.13192273676395416
74,1.8866827487945557,5e-07,1.2770771,1.8817264,1.3717604,0.022347604855895042,0.10777559876441956,0.017391182482242584,0.1318756341934204
75,1.8865580558776855,5e-07,1.2770365,1.8816017,1.3717148,0.022335181012749672,0.1077393889427185,0.017378756776452065,0.13182851672172546
76,1.8864336013793945,5e-07,1.276996,1.8814772,1.3716695,0.022322745993733406,0.10770304501056671,0.017366323620080948,0.13178135454654694
77,1.8863084316253662,5e-07,1.2769554,1.8813521,1.3716239,0.022310322150588036,0.1076667308807373,0.017353897914290428,0.1317341923713684
78,1.8861844539642334,2.5e-07,1.276915,1.8812281,1.3715787,0.0223041120916605,0.10764862596988678,0.01734768971800804,0.13171063363552094
79,1.886122465133667,2.5e-07,1.2768949,1.8811661,1.371556,0.02229796163737774,0.10763056576251984,0.01734153926372528,0.13168728351593018
80,1.8860595226287842,2.5e-07,1.2768744,1.8811032,1.3715332,0.022291770204901695,0.10761243104934692,0.017335347831249237,0.13166376948356628
81,1.8859975337982178,2.5e-07,1.2768542,1.8810412,1.3715105,0.022285567596554756,0.10759435594081879,0.017329145222902298,0.1316402107477188
82,1.8859355449676514,1.25e-07,1.2768341,1.8809792,1.371488,0.022282572463154793,0.10758554935455322,0.017326150089502335,0.1316288411617279
83,1.8859047889709473,1.25e-07,1.276824,1.8809484,1.3714768,0.022279584780335426,0.10757677257061005,0.01732316054403782,0.131617471575737
84,1.8858745098114014,1.25e-07,1.2768141,1.8809181,1.3714657,0.022276517003774643,0.10756786167621613,0.017320094630122185,0.1316058337688446
85,1.8858449459075928,1.25e-07,1.2768046,1.8808886,1.371455,0.02227349951863289,0.10755899548530579,0.01731707900762558,0.13159437477588654
86,1.88581383228302,1e-07,1.2767944,1.8808575,1.3714436,0.02227100171148777,0.10755160450935364,0.017314579337835312,0.13158486783504486
87,1.8857886791229248,1e-07,1.2767862,1.8808323,1.3714345,0.02226853556931019,0.10754440724849701,0.01731211133301258,0.13157549500465393
88,1.8857632875442505,1e-07,1.2767781,1.8808069,1.3714252,0.022266054525971413,0.10753713548183441,0.017309630289673805,0.13156606256961823
89,1.8857386112213135,1e-07,1.27677,1.8807822,1.3714161,0.02226352132856846,0.10752971470355988,0.017307098954916,0.1315564513206482
90,1.8857123851776123,1e-07,1.2767614,1.880756,1.3714066,0.022261038422584534,0.10752245783805847,0.017304617911577225,0.1315470188856125
91,1.8856874704360962,1e-07,1.2767533,1.8807311,1.3713975,0.022258587181568146,0.10751526057720184,0.017302164807915688,0.13153769075870514
92,1.8856620788574219,1e-07,1.2767451,1.8807057,1.3713882,0.02225608378648758,0.10750795900821686,0.01729966327548027,0.13152818381786346
93,1.8856360912322998,1e-07,1.2767367,1.8806797,1.3713788,0.022253528237342834,0.1075003445148468,0.017297105863690376,0.13151846826076508
94,1.8856110572814941,1e-07,1.2767285,1.8806547,1.3713696,0.02225106954574585,0.10749328136444092,0.01729464903473854,0.13150912523269653
