epoch,loss,lr,mae,mse,rmse,val_loss,val_mae,val_mse,val_rmse
0,1.8243839740753174,1e-06,1.2385298,1.8194257,1.3488609,0.04237145930528641,0.16550864279270172,0.037413179874420166,0.19342486560344696
1,1.824357509613037,1e-06,1.2385211,1.8193992,1.3488511,0.04237033426761627,0.1655072569847107,0.03741205483675003,0.19342195987701416
2,1.824326992034912,1e-06,1.2385113,1.8193687,1.3488398,0.04236914962530136,0.1655057668685913,0.03741087019443512,0.19341890513896942
3,1.8242955207824707,1e-06,1.238501,1.8193372,1.3488281,0.04236791282892227,0.16550427675247192,0.03740963339805603,0.19341570138931274
4,1.8242623805999756,1e-06,1.2384901,1.8193041,1.3488158,0.04236666485667229,0.16550268232822418,0.037408385425806046,0.19341246783733368
5,1.8242285251617432,5e-07,1.238479,1.8192703,1.3488033,0.04236602410674095,0.16550186276435852,0.03740774467587471,0.19341081380844116
6,1.8242112398147583,5e-07,1.2384733,1.819253,1.3487968,0.04236540198326111,0.16550111770629883,0.03740712255239487,0.19340920448303223
7,1.8241944313049316,5e-07,1.2384678,1.8192362,1.3487906,0.042364783585071564,0.16550035774707794,0.03740650415420532,0.19340761005878448
8,1.8241767883300781,5e-07,1.2384621,1.8192185,1.3487841,0.042364150285720825,0.16549956798553467,0.037405870854854584,0.19340597093105316
9,1.8241593837738037,2.5e-07,1.2384564,1.8192011,1.3487777,0.042363815009593964,0.16549918055534363,0.03740553930401802,0.1934051215648651
10,1.824150562286377,2.5e-07,1.2384535,1.8191923,1.3487743,0.042363490909338,0.1654987633228302,0.037405215203762054,0.19340427219867706
11,1.8241426944732666,2.5e-07,1.238451,1.8191844,1.3487715,0.04236317798495293,0.16549837589263916,0.037404902279376984,0.1934034675359726
12,1.8241339921951294,2.5e-07,1.238448,1.8191757,1.3487682,0.04236287996172905,0.1654980480670929,0.03740460425615311,0.19340269267559052
13,1.8241254091262817,1.25e-07,1.2384452,1.8191671,1.348765,0.04236271604895592,0.1654977798461914,0.037404440343379974,0.1934022754430771
