63,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11212102","A棟上層","2024-01-08",28,0,1.02,1677,1775,\N,\N,\N,"2024-06-14 03:36:50","2024-07-13 07:04:17"
64,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11212102","A棟上層","2024-01-09",29,0,1.02,1760,1824,\N,\N,\N,"2024-06-14 03:36:50","2024-07-13 07:04:17"
65,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11212102","A棟上層","2024-01-10",30,0,1.02,1808,1902,\N,\N,\N,"2024-06-14 03:36:50","2024-07-13 07:04:17"
66,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11212102","A棟上層","2024-01-11",31,0,1.02,1936,1957,\N,\N,\N,"2024-06-14 03:36:50","2024-07-13 07:04:17"
67,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11212102","A棟上層","2024-01-12",32,0,1.02,1966,\N,\N,\N,\N,"2024-06-14 03:36:50","2024-07-13 07:04:17"
68,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11212102","A棟上層","2024-01-13",33,0,1.02,2009,\N,\N,\N,\N,"2024-06-14 03:36:50","2024-07-13 07:04:17"
71,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-13",0,0,1.02,\N,36,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
72,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-14",1,0,1.02,40,48,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
73,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-15",2,0,1.02,54,58,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
74,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-16",3,0,1.02,59,65,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
75,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-17",4,0,1.02,72,96,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
76,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-18",5,0,1.02,108,130,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
77,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-19",6,0,1.02,140,165,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
78,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-20",7,0,1.02,178,203,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
79,"f5db36da-e119-40db-923f-0e06f6ab5a2c","G11302101","A棟上層","2024-02-21",8,0,1.02,213,226,\N,\N,\N,"2024-06-14 03:38:13","2024-07-09 13:22:07"
